Review,Rating
"keren product bagus murah ,tapi ga murahan. trims gan ayo semua pakai sandal buatan Proto. bagus enak dipakai saya sdh cobain.",bintang 5
Bagus. Kualitas ok. Harga bagus. Smoga awet. Terima kasih,bintang 5
bagus bgt sendal dan sangat sorth it dpt harga 19rb saja...yaa walaupun size kegedean hanya 43 tapi untungnya kaki ku masih fit. overall ok,bintang 5
"modelnya biasa aja, bahannya gak begitu elastis dan kenyal, dan ada cacat dibagian pentil bawa yg menonjol gak sesuai dengan lengkukan bentukannya.. terima kasih",bintang 3
"Seller responsive.. Pengirimannya pun cepat, pesan Sabtu - sampenya Minggu..

Sendal porto ini adalah pembelian yg ke-2.. Thanks seller & Tokped👍👍",bintang 5
"empuk, enak. 
kaki biasa ukuran 42...ini belinya 43, ternyata pas..saran yg mau beli mesti dilebihin 1 ukuran dr biasanya.",bintang 5
"pembelian pertama bagus, fast respon, warna dan ukuran sesuai pesanan dan dapat bonus sandal cewek😄, thanks seller. 👍",bintang 5
"CS Chat balasnya cepat dan ramah, tapi kenapa yang dikirim ada logo tulisan ""P"" pdhal yg dipilih dan di order yg gada tulisan ""P"". Semoga lbh teliti lagi...",bintang 4
Keren sandalnya ringan dan nyaman dipakai.,bintang 5
"Sesuai pesanan, kualitas oke. Cuma proses nya lama.",bintang 4
pengiriman nya cepat pesen kemarin besok lgsung Dateng & ukuran pas,bintang 5
"empuk
detail rapih
warna bagus
size agak besar dari biasa",bintang 5
"produknya pas di kaki, nyaman lagi, terima kasih Gan, yg lain recommended banget untuk yang mau belanja di toko ini 🙏👍",bintang 5
"Alhamdulillah, sendalnya bagus dan nyaman.. Sesuai pesanan, terima kasih",bintang 5
proses dan kirim cepat. barang bagus. kayak sendal mahal lho 😆,bintang 5
barang da sampe cm kok dua dua y coklat padahal saya pesen  satu y warna hitam....,bintang 5
"Barang sudah saya terima dengan baik sesuai dengan Pesanan
Harga sangat murah dan bahan empuk",bintang 5
"sesuai deskripsi
empuk
rapih
ukuran sesuai",bintang 5
"2 Kali beli sendal di toko ini memuaskan.

-sendal nyaman dipakai 
-sendal pertama beli sudah 4 tahun pemakaian
-btw sendal saya ukuran 44
-semoga ulasan ini membantu",bintang 5
oke lah barangnya. sayangnya ada karat dikit di bagian besi kancing nya.,bintang 3
Bagus biarpun Bahan plastik alasnya. 👍🏻,bintang 5
"produk keren banget!!

packing rapih dan kirimannya cepat

rekomen banget seller ini, terimakasih banyak",bintang 5
mantaaap kualitas sendalnya. sering2 promo ya min,bintang 5
"proses dan pengiriman cepat,barang sesuai",bintang 5
"paket sudah sampai, packing rapih, barang aman sampe tujuan.. sesuai deskripsi..moga2 awet..thank's",bintang 5
"mantap...sesuai deskripsi.....proses cepat,tiba lebih cepat",bintang 5
"sesuai deskripsi, nomer dan warnanya sesuai",bintang 5
"pengiriman cepat, sesuai orderan. terima kasih tokopedia and seller 🤗",bintang 5
"Produk datang sesuai dgn yg di pesan, sampai dgn kondisi yg baik dan tdk ada cacat nya, terimakasih",bintang 5
"barang ok, walau sempet nyasar ntah kemana",bintang 5
"Sesuai dengan deskripsi, pakingan bagus...",bintang 5
Yaaaa.. Oke Lah untuk Harga nya juga gak Mahal.. Seharga sendal Jepit,bintang 4
"enak dipakai, ringan, kayaknya kuat bahannya, warnanya juga bagus, makasih seller",bintang 5
Kualitas produk sangat baik. Produk original. Harga produk sangat baik. Kecepatan pengiriman sangat baik. Respon penjual sangat baik.,bintang 5
"Proses pesanan cepat, kualitas produk cukup baik. Normalnya biasa pakai ukuran 41, sandal ini ukuran 43 pas di kaki saya.",bintang 5
"Sandal Porto, Sandal biasa tapi dipakainya luar biasa. Nyaman, pas, dan modelnya gaul. Berbahan karet. Bisa untuk dimusim hujan dan ke air,karwna anti air. Pelayanan bagu...",bintang 5
"bagus banget sendalnya,, terimakasih kak giftnya
semoga berkah selalu tokonya",bintang 5
"fast respon, barang datang sesuai dengan pesanan, seller komunikatif, sandal nyaman dipakai dan pas di kaki. andaikan ada size lebih besar lagi",bintang 5
"produk berfungsi dengan baik, nyaman, pas di kaki
semoga awet..😆👍",bintang 5
"nyaman dipakai ringan, model bagus, ukuran pun pas dikaki",bintang 5
"Nyaman dipakai. Ringan dipakai. Ukuran pas di kaki. 
dapat bonus lagi, makasih",bintang 5
"Oke barang sesuai dan cocok
Namun saran saya pesan nomer diatas biasanya.
Saya biasa pakai 42-43, beli sendal ini ukuran 43, terlalu ngepas.
44 might fit better
Terima ka...",bintang 5
"modelnya bagus, nyaman dipakai, lembut ukurannya pas.. hanya saja bau karetnya pas baru dtg agak nyengat tp klo udah dipake lama baunya hilang, apalagi klo udah kena air",bintang 5
"pas buka bagus sekali , eh diperhatikan robek bagian kancingan talinya .. yah anggep saja nyumbang palingan seminggu putus ini",bintang 4
"Good product👍 Bahan nyaman & ukuran pas,  thank's Porto🙏",bintang 5
"sudah beli beberapa x, porto memang sandal kualitas bagus dan awet.. warnanya bagus dan ngga norak.. pakai beberapa tahun masih bisa ok.. desain nya seperti merk mahal.....",bintang 5
"bagus banget sendalnya, nyaman dikaki. bahan bagus dan ringan banget, padahal sandalnya cukup tebal pesan no 42 krn lg promo. takut gak cukup krn biasanya no 41, eh Alham...",bintang 5
"bagus,nyaman,pas ukurannyaLem & jahitan rapi. Ringan dipakai. Modelnya keren 😎.",bintang 5
bahannya bagus ga keras nyaman dipakai kemana mana,bintang 5
"Bahannya ringan, nyaman saat dipakai & harganya terjangkau. Ya intinya barang sesuai dengan harganya. Tapi pengiriman kurang gercep alias lambat jadi saya hanya bisa...",bintang 4
"bahan lembut , nyaman dipakai , tambah 1 lagi ukuran dari biasa nya , biar lebih enak  dipakai ..",bintang 4
Bahannya empuk dan nyaman untuk dipakai jalan. Terima kasih!,bintang 5
"sandalnya bagus dan empuk, ukurannya pas sama kaki saya yg lebar, penjual responnya bagus, pengirimannya cepat",bintang 5
"Model keren, harga terjangkau, ukuran pas dikaki dan pas dikantong, pengiriman cepat dan pelayanan juga ramah",bintang 5
"Alhamdulillah pesanan nya sdh sampai dengan baik. Terima kasih seller, suka banget dpt bonus lgi satu sendal. Good job",bintang 5
"Sandalnya sudah datang, bagus dan mantab dah pokoknya. Terima kasih ya Porto Footwear, Tokopedia, dan sang kurir. Gratis ongkir dan dapat cashback pula. Saya puas belanja...",bintang 5
"pembelian kedua, lumayan nyaman cuma lebih empuk yang pertama warna coklat. ini bahannya agak keras tapi lumayan nyaman",bintang 5
"tadinya beli sandal merk ternama mahal2 ternyata itungan bulan rusak, coba beli porto yg harganya cuman 20% dr merk mahal dgn model yg sama bisa dipakai utk main sepak bo...",bintang 5
Ukuran pas di kaki Modelnya keren 😎 Lem & jahitan rapi Ringan dipakai Nyaman dipakai,bintang 5
"beruntungnya dpt hrga flash sale
sendalnya juga bagus bahan tebal",bintang 5
Ukuran pas di kaki. Nyaman dipakai. Ringan dipakai.,bintang 5
Lem & jahitan rapi. Ringan dipakai. Nyaman dipakai.,bintang 5
"Sandal Pria varian abu dan hitam 44 dtg sesuai pesanan, hrg murah, bebas ongkir, dpt cashback 6.238, empuk dipakai, sandalnya tahan air, recommended seller, semoga lancar...",bintang 5
Nyaman dipakai. Ukuran pas di kaki. Ringan dipakai.,bintang 5
"Bagus banget, beli dua warna, dikasi bonus sepasang, mantullllll, pasti bakal langganan ke sini",bintang 5
"Sandalnya enak bangettttt, lembut nggak licin dan nggak bunyi pas basah.",bintang 5
"Ukuran pas di kaki 
 Ringan dipakai Modelnya keren 😎 Lem & jahitan rapi",bintang 5
"kualitas bagus. hanya lobang tali nya terlalu sedkt, untung beli 1 nomor diatas yg biasa dipakai jd lbh enak.",bintang 4
"untuk harga kurang dari 50 rbu..mantaplah ini,mskipun terbuat dari karet tp ringan dan nyaman dipakai",bintang 5
"Sandalny nyaman bgt dipake, dg hrg pas dikantong..fashionable bgt lah..
Sering2 aja kasih promo
Trima kasih",bintang 5
"sesuai ukuran, walaupun spt bahannya berbeda dgn yg dulu pernah dibeli",bintang 4
bagusssss sesuai pesanan walaupun murah enak juga dipake,bintang 5
"barang sesuai pesanan. bahan juga ringan dan nyaman. dapat harga promo juga jadi murah banget.

terimakasih.",bintang 5
"barang bagus, cepat sampe, cuma agak kekecilan, saran di gedein 1-2 nomor",bintang 5
"pengiriman agak lama responya, tapi sandalnya bagus nyaman enak rasanya",bintang 5
barang bagus dan sesuai.cuman agak tipis aja.,bintang 5
"mantap, ukurannya sesuai dan nyaman dipakai",bintang 5
"nyaman dipakai, cman ukuran 42 serasa 41, mngkin karena beda merk",bintang 5
"model oke, trendy, tp salah pilih nomor jdnya agak sempit, nyaman jg dipake. kalo utk awetnya kita liat nanti ya, baru buka soalnya",bintang 5
"sendalnya bagus, dan enak dipakai, harga cukup murah",bintang 5
"Manteb, enteng, build Quality bagus lho untuk harga 30rb an",bintang 5
"Sesuai diskripsi, empuk enak dikaki, pas ukuranya. Respon baik, pengiriman cepat, semoga awet",bintang 5
sdh diterima dlm kondisi baik.sendalnya empuk nyaman.pengiriman cepat. jgn lupa senyum baliknya,bintang 5
"barang sudah nyampe gan, ukuran nya sesuai,packing rapih, respon seller cepat, pengirimannya cepat thanks gan👍",bintang 5
"Bahannya nyaman,  ukuran sesuai dan modelnya keren😍",bintang 5
"ringan, nyaman, ukuran pas, modelnya cakep...semoga awet",bintang 5
"wokeh lah, sesuai dengan deskripsi.  hanya bagian tengahmya aja agk nonjol doang kurang ergonomis ggtt....mantul",bintang 5
"mantap kali jon ku kira tak muat ternyata cukup kali sendalnya..

sering sering lah kau adakan diskon dan promo",bintang 5
Modelnya keren...ukurannya pas di kaki..nyaman & ringan dipakai 👍,bintang 5
barang bagus sesuai pesanan kurirnya ramah terimakasih Tokopedia,bintang 5
"Terima kasih, pesanan sesuai. Product lumayan, enak di pakai. Walau kurang empuk. Berharap bisa kuat.",bintang 5
"Kualitas oke, packing oke, sesuai ekspektasi. Terima kasih.",bintang 5
"BAGUS BANGET gausah ragu beli disini. Dari kualitas, harga, pelayanan beneran bintang 5, harga murah tp kualitas ga murahan. Sukses Porto, bakal langganan⭐⭐⭐⭐⭐👍",bintang 5
"sandalnya bagus, ringan, pas di pake. pengiriman cpt",bintang 5
bahan sandalnya lembut dan lentur.. ringan jd sprtinya enak dpakai jalan2.. dgn harga segitu ckup memuaskan... smg awet yaa.. sukses selalu,bintang 5
rekomended dah pokonya cucok di kaki cucok di kantong,bintang 5
"Ringan, nyaman, model keren, ukuran pas tapi naik size diatasnya. mantab Porto!!!",bintang 5
"Ada harga, sebanding dengan kualitas.
Pas juga di kaki.",bintang 5
"Enak dpake,,nyaman..cm agk bsar aj...Trm kasih seller,,,kulir,,,n tokped...Suksese Selalu...",bintang 5
"Barangnya sangat memuaskan, saya biasa ukuran 41, di sini order 41 ukurannya jg pas, ga kekecilan ga kegedean. Puas pokoknya.",bintang 5
"Mantab dan pas banget buat ukuran kaki 26,7 cm",bintang 5
barang murah tapi kualitas gak murahan....mantab....,bintang 5
sudah pernah beli buat anak saya...anak saya suka karena empuk...sayang nya ditukar orang saat tour waktu sholat dimasjid dengan model yg keraas dan sudah patah alas nya....,bintang 5
pengiriman cepet dan aman ... kualitas OK ... yangkung suka ... alhamdulillah ... makasih,bintang 5
"Sesuai pesanan
Pengiriman Ok
Kualitas Ok
Enak di pake",bintang 5
sandal nya ringan dan nyaman dipakainya dan semoga awet.terima kasih sukses slalu,bintang 5
"barang sesuai mantap..., tapi kurir lemotnya minta ampun sampai emosi",bintang 5
"Sandalnya bagus dan ringan, cetakannya pun rapih.",bintang 5
"Barang sesuai expestasi, kwalitas bagus, mantapp.tks Tokped",bintang 5
"Paketnya sampai selamat & sandalnya kondisinya baik. Dipakenya jg enak sendal nya. Trm ksh byk ya. 🙏🏽🙏🏽
Recommended. 👍🏽👍🏽",bintang 5
"ukurannya agak sempit, jadi baiknya kalau order ditambahkan satu nomor supaya sesuai dengan ukuran kakinya. misal biasa pakai 37, order 38. 
kalau beli banyak dapat bonus...",bintang 5
"cocok
sesuai
good seller...fast respon
pengiriman g pake L",bintang 5
"Modelnya keren, tahan air, empuk dan awet.",bintang 5
"sedikit beda ukurannya sm yg biasa dipake, mrpet bgt
tp ok lah gpp",bintang 5
"nyaman, enak, oke....thanks toped and seller",bintang 5
"produk ori, pengiriman kilat...👍👍",bintang 5
"Modelnya bagus, sesuai dengan gambar, lebih nyaman ini daripada merk sebelah...👍🏻😅
Hanya saja pengiriman di kurir agak lama...😑",bintang 5
bagus. empuk. ringan. murah juga tapi bagus pokoknya. mantab,bintang 5
respon cepat pengiriman cepat barang jg ok sesuai pesanan terima kasih,bintang 5
"Cukup bagus dan nyaman dipakai.
Ketahanan belum teruji..",bintang 5
"harga murah barang lumayan, penjual ramah",bintang 5
"Bagus, sesuai expectasi, ringan, cukup empuk, semoga awet",bintang 5
keren dan ringan ...puas banget ...bapak sama misua senang banget pakai sendal baru ke masjid ❤️,bintang 5
"jozzz bosqu....terimakasih, sya biasa 42 pesan yang 43 pas enak, empuk.",bintang 5
"Barang sampai ke tujuan sebelum hari raya, proses cepat, kualitas oke, Terima kasih Porto dan tim.",bintang 5
"Barang Sesuai Deskripsi, Pas Dikaki Saya, Semoga Awet, Terima Kasih Tokopedia 😊🙏...",bintang 5
pembelian ke 3 nih. barang bagus ramah di kantong,bintang 5
Pesanan sesuai. Sandal ukuran 44 pas di kaki yg biasa pakai sepatu ukuran 29cm. Semoga awet.,bintang 5
"Barang telah diterima dengan baik, kemasan baik, pengiriman cepat, barang sesuai dengan pesanan..
Recommended Seller.. 👍👍👍",bintang 5
"Fast respond, delivery cepat, harga murah dsn good product.... 👍👍👍",bintang 5
"barang dikirim sesuai pesanan, packing aman, semua lengkap, terima kasih..",bintang 5
maaf sebenarnya sedikit kurang pu as soalnya besi buat nguncinya dua duanya sudah karatan maaf ya..🙏,bintang 4
"Bahan ringan, size sesuai cart, tapak tidak lici",bintang 5
"bagus 
barang original
pengiriman cepat.. 
terimakasih 👍👍💚🙏",bintang 5
"produk original.... baus banget..insyaAllah awet. udh bbrpa kali belanja di di porto official. seller ramah banget. kurir juga ramah banget. terima kasih seller, pengemas...",bintang 5
"alasnya enak lekukan sesuai anatomi kaki, semoga awet gak cepat putus.",bintang 5
"Barang sudah diterima dalam kondisi baik dan sesuai harapan...

Terima kasih Porto Footwear dan Tokopedia...",bintang 5
Minus nya pake ekspedisi ninja xpres lama bat sampenya asli. kl barang sih oke.,bintang 4
mantap jiwa. produk kualitas bgs. Pengiriman cepat. thanks gan,bintang 5
Enak banget dipakenya. Saya biasa sz 42.5-43 nyaman di size 42. Empuknya pas. Semoga tidak ada keluhan besok2. 😬,bintang 5
"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercita...",bintang 5
"barang nya ringan, cocok untuk santai..",bintang 5
"alhamdulillah sampai juga pesanannya, barang oke sesuai pesanan, bagus, cuma pengiriman agak lama",bintang 5
"Produk bagus ,anak saya suka,recommended seller",bintang 5
"Barang ok dan nyaman, ukuran pas
Makasih yaa Porto 👍🏼",bintang 5
"pengiriman cepat, harga murah, barang bagus. 
recomended",bintang 5
"Responnya cepat jadi sampenya cepat,, Barangny ssuai pesanan",bintang 5
Terima kasih paketnya sdh diterima. sesuai pesanan. packing rapih. produk Oke. harga Oke. thanks seller..,bintang 5
"sandal buat sehari hari empuk rasanya pass di kaki, terima kasih seller",bintang 4
"Barang datang dengan aman,, barang original,, Baguuuuuus.... Baguuuuuus... Cantik. Recomended deh...pakai porto. Terima kasih juga telah diberi bonus,, cantik banget.",bintang 5
"sendalnya lumayan, tapi berasa agak kemahalan. Tapi mudah2an awet. Kalo awet dan beli lg baru deh ulasan lengkap",bintang 4
"Barang sudah diterima dalam keadaan baik sesuai pesanan dan packing bagus pengiriman sangat cepat, kurir ok 👌
seller manta 👍🏻",bintang 5
"barang sudah sampai , kondisi barang baik , pesanan sesuai  , terimakasih",bintang 5
"nyaman di kaki, produk bagusss 💯💯💯",bintang 5
pesanan sudah di trima sesuai pesanan mksih enak di pakai nyaman di kulit,bintang 5
"barang sesuai 
cuman ⭐⭐ buat ekspedisi pengiriman telat baru kali ini blanja di tokped pengiriman molor",bintang 5
"pesanan dan pengiriman Ok.banget - twrima kasih,Bapak.",bintang 5
Bagus sesuai pesanan dan prosesnya cepet,bintang 5
"barang bagus... mimin jg responsif.
cm salah pilih ekspedisi aja. lamaaa pake ninja",bintang 5
"fast respon, barang datang sesuai dengan pesanan",bintang 5
"Produk berkualitas
Pas saat dipakai
Makasih",bintang 5
"Mantappp 
Bahannya ringan 
Mudah2an awet",bintang 5
mantap barang bagus dan pengiriman cepat,bintang 5
udah kesekian kali nya beli dsni puas bgt. bahan nya bagus & awet. thankyou seller,bintang 5
alhamdullilah sendalnya muat kok hehehehe,bintang 5
"Mantab 👍🏻 Memuaskan.
Kualitas baik 👍🏻 Harga bersahabat.
🙏🏼Sehat sukses selalu.",bintang 5
sesuai pesanan..kwalitas baik..pengiriman std,bintang 5
"Sesuai orderan, packing aman, recomended seller, tkb",bintang 5
Ganteng sandalnya 😂sukaa ringann muraah flash sale..cakep,bintang 5
"Mantap, sesuai pesanan.
Sekarang ada logo P nya",bintang 5
"sesuai harga, kualitasnya baik.",bintang 5
Beli 2 dengan ukuran yg sama ehh...barangnya ukurannya beda hehe..tapi gpp saat d coba lumayan nyaman d pakai. terima kasih,bintang 5
"sesuai deskripsi,mudah2an awet,recommended seller",bintang 5
"mantap... nyaman dipakai, hargq hemat dikantong",bintang 5
barang sesuai pesanan dan paking rapi 👍,bintang 5
ukuran dan warna sesuai pesanan. proses cepat,bintang 5
Sendalnya akhirnya bisa dpakai dan barang bagus,bintang 5
respons dan pengiriman cepat sekali ... barang lumayan .,bintang 5
as always belanja di lapak ini dan hasilnya selalu baik,bintang 5
Brg sesuai pesanan namun pengiriman lama smpnya,bintang 5
Brg sesuai pesanan namun pengiriman lama smpnya,bintang 5
"sempat nyasar, alhamdulillah masih selamat, barang ok untuk harga 10k",bintang 5
bintang 4 dlu. soalnya pengiriman terlambat sampai 5 hari sejak checkout tgl 10 baru sampai tgl 15. kualitas si bagus uk sesuai terimakasih,bintang 4
mantap..sudah sampai produknya..ini pembelian yang kedua..overall memuaskan..thank's,bintang 5
"Sesuai pesanan dan deskripsi, mantap.... 👍👍👍👍",bintang 5
"👍⭐⭐⭐⭐⭐
paaasss..
Seller fast respon.. 
pengiriman cpt sampai..",bintang 5
"Slow Respond, Seller Kurang Pro Aktif, & Jadwal terkirimnya barang tidak sesuai",bintang 2
pas banget enak dipakainya di longkapin 1 nomor keatas,bintang 5
"sandal nya bagus sesuai yang di gambar ,cepat sampai makasih ya 😍😍😍",bintang 5
"barangnya bagus, cuma warna ga sesuai pesanan",bintang 5
bagus banget puas banget sesuai dengan gambar makasih diskonnya ka... mudah2an sukses sll aamiin,bintang 5
"akhirnya sampe juga sendalnya,,, terobati karena sandalnya sesuai keinginan",bintang 5
"sesuai deskripsi, bahannya nyaman sekali",bintang 5
oke..sesuai deskripi dan foto..makasih toped dan seller...,bintang 5
barang sesuai dengan deskripsi  mantap semoga awet tksh,bintang 4
bagus dan kuat kayaknya ringan,bintang 5
"enteng, kualitas ok, packaging kuat",bintang 4
"awet, tahan lama... nyaman dipake",bintang 5
pas dipakai dan nyaman dipakai,bintang 5
paket diterima dengan baik dan aman. murah meriah dan nyaman. tks,bintang 5
"Ga prank, real pict, amanah. Sukses slalu gan👍",bintang 5
"nyaman, kualitas bagus
pengiriman cepat",bintang 5
Asik datang pas di kaki enak buat jalan,bintang 5
dipake nyaman. model ok. harga murah,bintang 5
order yg kedua kali model spt ini ..dan mantab,bintang 5
sendal jepit nyaman di pakai terima kasih,bintang 5
sesuai deskripsi dan pesanan. semoga awet dipakainya.,bintang 4
cukup bagus sesuai dengan harga yang ditawarkan,bintang 4
Lem & jahitan rapi. Nyaman dipakai.,bintang 5
"rekomendasi okay, ukuran pas, TDK licin",bintang 5
"brg ok, walau agak nge pas ukuran 44 nya",bintang 5
"pesan size 40 & 44, dikirimnya size 40 dua-duanya.
pdhal udah di notif sm udah dikasih tau lewat chat jg..",bintang 3
Nyaman ketika dipakai 👍🏼,bintang 5
"barang real pict,mantap smoga laku habis terjual.",bintang 5
"sendalnya sih oke, pengirimannya yg lamaaa",bintang 4
klo mau aman ukuran naik satu size pas,bintang 5
"kwalitas bagus, harga pas, semoga awet",bintang 5
"Modelnya bagus, ringan dipakai",bintang 5
bahan bagus. ukuran 44 sesuai.,bintang 5
bagus sesuai gambar. pengiriman tepat waktu,bintang 5
"Review telat. Kemarin pesan 2 pasang sandal sama"" ukuran 42 tapi yg ini pas dipakai kok gede banget kayak ukuran 44. Hadeh",bintang 1
"Barang dipacking dengan aman dan sesuai, Thanks",bintang 5
Barang yang datang sesuai dengan Deskripsi..,bintang 5
Modelnya bagus. Yg dikasih suka sendalnya.,bintang 5
Produk bagus n keren. Nyaman di kaki.,bintang 5
"pas dan nyaman di kaki, awet pula",bintang 5
"barang bagus, sesuai deskripsi",bintang 5
Ukuran tdk standar. Kalau yg kaki 44 spt saya ordernya mungkin harus 47,bintang 2
kualitas bagussss harga murmer dapet diskon mantul,bintang 5
Alhamdulillah sesuai dengan pesanan... model simpel dan elegan...,bintang 5
"barang sesuai orderan,ukuran pas",bintang 5
"b aja sih ,sesuai harganya lah ( ꈍᴗꈍ)",bintang 5
"keren .. nyaman di pake, mantap lah ..",bintang 5
juara. warna dan ukuran sesuai. pembelian yg ke 2,bintang 5
terima kasih barang sudah diterima. Kualitas sesuai harga,bintang 5
"produk bagus, dipakenya enak2 wae",bintang 5
"empuk,,,dari karet. terimakasih eri",bintang 5
"belum dicoba tapi ok
packing kardus dan buble wrap",bintang 5
Pesanan sudah diterima dg baik. Recommended seller,bintang 5
"Bahannya ringan,pas di kaki",bintang 5
ukuran nya pas sendalnya mantap,bintang 5
"pengiriman cepat, barang bagus",bintang 5
lumayanlah..dpt harga flash sale,bintang 5
"barang ok, pelayanan not so much",bintang 5
"pesanan sesuai , ukuran pas, semoga awet",bintang 5
"lumayan buat harga segini, mudah2an awet, simpel tapi elegan, mantap",bintang 5
Alhamdulillah sudah diterima dengan baik. sendalnya bagus. Mudah-mudahan muat untuk suamiku. Terima Kasih yaa,bintang 5
bagus.. ringan... enak d pakai,bintang 5
sandal okeh. barang sesuai. ringan,bintang 5
barang sesuai pesanan n cepat sampai,bintang 5
top harga murah kualitas bersaing,bintang 5
ringan banget sendalnya... makasih yah,bintang 5
pesanan sesuai. dan dapat gift. terimakasih,bintang 5
Bagus lentur kuat,bintang 5
lumayan lah walaupun ngeselin pengiriman nya,bintang 4
"pas, terima kasih walaupun prosesnya lama",bintang 5
Punya bahan karet yang nyaman untuk dipakai sehari -hari. Ukuran pas di kaki.,bintang 5
"Modelnya keren, bahan awalnya agak kaku tapi setelah beberapa kali pemakaian mulai nyaman di kaki",bintang 5
"Baranganya bagus, namun sizenya cukup kecil, saran jika biasanya ukuran 41 beli ukuran 42, karena ukurannya sedikit kekecilan. Tapi overall bagus. Cuma proses pengiriman...",bintang 5
"harga oke, barang lumayan oke senang belanja di sini, mantaaaap",bintang 5
"bagus, tapi sedikit kurang nyaman di bagian jempol dan telunjuk kaki",bintang 5
"nyaman dipakai, kalau anda tipe yang kakinya berkeringat, mungkin sedikit kurang nyaman karena sandal tidak menyerap keringat.",bintang 4
sesuai dan cepat sampai. terima kasih banyak,bintang 5
"barang ok, ori, kualitas sesuai harga.., nyaman dipakai dan ringan. Hanya agar ditingkatkan proses pengirimannya saja karena relatif lumayan lama untuk sekelas off store",bintang 5
bqgus tapi sizenya kecil dari pada biasanya. lobang setelannya juga kurang sepertinya.  baiknya naik satu size,bintang 5
"Sandal bagus, cuma nomor 44 nya ukurannya lebih kecil di bandingkan dengan tipe lain, jadi di pakai sangat pres sekali di kaki. Seandainya saja ada ada ukuran 45 pasti sa...",bintang 5
udah pake sebelumnya. setahun masih oke. tali sandalnya ga gampang putus.karetnya empuk di kaki. harga merakyat.,bintang 5
"Model keren n nyaman dipakai, sol.empuk. Hanya ukurannya lbh besar dari nomer pd umumnya. Saya biasanya ukuran 41 pas, tapi ini sama2 41, kegedean.",bintang 5
"Sesuai ekspektasi, desain dan kualitas barangnya bagus, kayaknya dari karet, tapi bukan asal karet, enak lah ketika dipake, sesuai juga ukurannya, pengiriman cukup cepat,...",bintang 5
Ringan dipakai. Nyaman dipakai. Lem & jahitan rapi. Modelnya keren 😎. Ukuran pas di kaki.,bintang 5
Lem & jahitan rapi. Nyaman dipakai. Ukuran pas di kaki. Ringan dipakai. Modelnya keren 😎.,bintang 5
Lem & jahitan rapi. Nyaman dipakai. Ukuran pas di kaki. Ringan dipakai. Modelnya keren 😎.,bintang 5
Nyaman dipakai. Lem & jahitan rapi. Modelnya keren 😎. Ringan dipakai. Ukuran pas di kaki.,bintang 5
Lem & jahitan rapi. Ringan dipakai. Nyaman dipakai. Ukuran pas di kaki. Modelnya keren 😎.,bintang 5
Lem & jahitan rapi. Nyaman dipakai. Ukuran pas di kaki. Ringan dipakai. Modelnya keren 😎.,bintang 5
Lem & jahitan rapi. Ringan dipakai. Ukuran pas di kaki. Modelnya keren 😎. Nyaman dipakai.,bintang 5
